name,latitude,longitude
Arapahoe Animal Hospital,40.01594729999999,-105.22344599999998
Rise Vet,40.0247421,-105.28115799999999
South Boulder Animal Hospital,39.985399616087136,-105.23992291723934
Colorado Animal Specialty & Emergency,40.0352459469467,-105.25508398919125
Broadway Animal Hospital and Pet Center,39.97351290235744,-105.23950259541597
VCA All Pets Animal Hospital,39.984849568362094,-105.22862180880982
Pet Menders Animal Hospital,39.99855583313569,-105.25799119019435
