OSMPTrailsOSMPOBJECTID,OSMPTrailsOSMPOWNER,OSMPTrailsOSMPBICYCLES,OSMPTrailsOSMPDISPLAY,OSMPTrailsOSMPTRAILTYPE,OSMPTrailsOSMPDATEFROM,OSMPTrailsOSMPDATETO,OSMPTrailsOSMPSEGMENTID,OSMPTrailsOSMPHORSES,OSMPTrailsOSMPRID,OSMPTrailsOSMPTRLID,OSMPTrailsOSMPMILEAGE,OSMPTrailsOSMPMEASUREDFEET,OSMPTrailsOSMPTRAILNAME,OSMPTrailsOSMPGlobalID,OSMPTrailsOSMPDIFFICULTY,OSMPTrailsOSMPDOGS,OSMPTrailsOSMPDOGREGGEN,OSMPTrailsOSMPDOGREGDESC,OSMPTrailsOSMPEBIKES,SHAPESTLength,OSMPTrailClosuresOBJECTID,OSMPTrailClosuresRID,OSMPTrailClosuresCLOSUREDURATION,OSMPTrailClosuresWEBLINK,OSMPTrailClosuresCLOSUREAREA,OSMPTrailClosuresTRAILSTATUS,OSMPTrailClosuresCLOSUREREASON,OSMPTrailClosuresLOCATIONDESCRIPTION,OSMPTrailClosuresCONTACT,OSMPTrailClosuresCOMMENTS,OSMPTrailClosuresGLOBALID,OSMPTrailClosuresSEGMENTID
2817,OSMP,No,Yes,Hiking Trail,2022/06/12 00:00:00+00,2099/12/31 00:00:00+00,290-348-347,Yes,2056,290,0.097,507,Dakota Ridge,{B98D9268-DFD5-4822-91B4-A69BA3FC156B},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,511.8343559,1273,2056,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{576A82D2-602F-47BA-A2BB-3FC96D22367F},290-348-347
2818,OSMP,No,Yes,Hiking Trail,2022/06/13 00:00:00+00,2099/12/31 00:00:00+00,290-346-348,Yes,2062,290,0.182,999,Dakota Ridge,{8832C0E6-23DC-4C0C-9501-A3F51F994D2D},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,961.3742631,1274,2062,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{5E4C9A5D-B040-4B5C-AC89-0D196C4AFEFA},290-346-348
2819,OSMP,No,Yes,Hiking Trail,2022/06/15 00:00:00+00,2099/12/31 00:00:00+00,290-346-345,Yes,2065,290,0.154,815,Dakota Ridge,{DF0ED3D6-A990-4806-BC19-A90AF9327B72},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,810.7768539,1275,2065,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{22ED2FA5-59AC-48AF-AD87-12BD05553135},290-346-345
2820,OSMP,No,Yes,Hiking Trail,2022/06/01 00:00:00+00,2099/12/31 00:00:00+00,288-347-345,Yes,2047,288,0.191,1009,Sanitas Valley,{7ABD5E5C-E1E2-4887-8FA2-44DA8722D1F7},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,1009.057026,1276,2047,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{ADDF40D7-CBC6-4AE8-B8D5-DA90F86C2F61},288-347-345
2821,OSMP,No,Yes,Hiking Trail,2022/06/01 00:00:00+00,2099/12/31 00:00:00+00,288-349-347,Yes,2046,288,0.181,952,Sanitas Valley,{029A4F01-B38A-49A5-8B9E-FC15A91828B7},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,954.7388193,1277,2046,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{80843D8B-D070-491F-99FC-6FAC2835569C},288-349-347
2822,OSMP,No,Yes,Hiking Trail,2022/06/01 00:00:00+00,2099/12/31 00:00:00+00,288-345-344,Yes,2048,288,0.435,2294,Sanitas Valley,{F5A479E6-A3ED-43D4-932E-99B86969D6FE},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,2297.738842,1287,2048,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{F00F7FD2-9373-4C87-8AA2-752F6F38CFFE},288-345-344
2823,OSMP,No,Yes,Hiking Trail,2022/06/13 00:00:00+00,2099/12/31 00:00:00+00,290-344-346,Yes,2061,290,0.55,2909,Dakota Ridge,{54E6A808-C073-4605-8C1D-A3809D923862},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,2901.656272,1288,2061,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{91D3FB51-F240-4E31-98CF-37C5E232C913},290-344-346
2824,OSMP,No,Yes,Hiking Trail,2022/06/01 00:00:00+00,2099/12/31 00:00:00+00,288-344-343,Yes,2049,288,0.032,172,Sanitas Valley,{C8369854-5731-4E6F-A4B3-023FEE72FCD4},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,167.0948155,1289,2049,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{35382ABB-7295-4A93-9E1E-923C0D1908D1},288-344-343
2825,OSMP,No,Yes,Hiking Trail,2022/06/07 00:00:00+00,2099/12/31 00:00:00+00,291-362-361,Yes,2055,291,0.156,817,Goat,{793DEC10-DDE8-4688-82F8-164CE17ADCD7},Moderate,Yes,LR,Leash Required,No,821.0583866,1290,2055,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{E681A921-BAA5-4296-B24C-B59A2B7E7078},291-362-361
2826,OSMP,No,Yes,Hiking Trail,2022/06/07 00:00:00+00,2099/12/31 00:00:00+00,291-362-360,Yes,2054,291,0.058,308,Goat,{7E61A78E-C244-46B3-8614-C661F32CAA45},Easy,Yes,LR,Leash Required,No,306.4722086,1291,2054,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{85775503-F114-4BAF-9809-CC89FE5E38EA},291-362-360
2827,OSMP,No,Yes,Hiking Trail,2022/06/07 00:00:00+00,2099/12/31 00:00:00+00,291-343-362,Yes,2053,291,0.405,2180,Goat,{E00A838C-2F2D-4F5A-B997-3B0CBF24072D},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",No,2138.466342,1292,2053,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{19055A7E-71F5-4935-85E7-5B985382A832},291-343-362
2828,OSMP,No,Yes,Hiking Trail,2022/06/12 00:00:00+00,2099/12/31 00:00:00+00,290-350-660,Yes,2059,290,0.098,504,Dakota Ridge,{817C9A25-14AE-4F4E-A565-C255025760D0},Moderate,Yes,LR,Leash Required,No,516.4099783,1293,2059,,,,Open,Hazardous Conditions,,,,{AA94950B-9ACD-4B93-9B30-A756C934EBCC},290-350-660
2829,OSMP,No,Yes,Hiking Trail,2022/07/11 00:00:00+00,2099/12/31 00:00:00+00,288-354-353,Yes,2098,288,0.075,395,Sanitas Valley,{5C5E1297-319D-48F8-B890-1D6B1BCA0911},Easy,Yes,LR,Leash Required,No,400.0228072,1294,2098,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{AF905E06-2304-4D5D-A125-870FE01C4FFB},288-354-353
2830,OSMP,No,Yes,Hiking Trail,2022/08/02 00:00:00+00,2099/12/31 00:00:00+00,297-352-328,Yes,2125,297,0.046,225,Sanitas Spur,{32810B52-5079-4E4B-AD50-3097C8314B29},Moderate,Yes,LR,Leash Required,No,241.8054159,1295,2125,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{65265F84-F963-40CE-9F15-B3E69CF92764},297-352-328
2831,OSMP,No,Yes,Hiking Trail,2017/01/01 00:00:00+00,2099/12/31 00:00:00+00,289-326-325,Yes,1454,289,0.004,-9999,Mount Sanitas,{17AB4D80-C9D5-45A0-9028-5D71E9EBF856},Easy,Yes,LR,Leash Required,No,20.33916417,1296,1454,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{5C16A39B-CE0C-4D22-A4F4-25353D658940},289-326-325
2832,OSMP,No,Yes,Hiking Trail,2022/07/11 00:00:00+00,2099/12/31 00:00:00+00,289-328-327,Yes,2100,289,0.049,281,Mount Sanitas,{CF8805DE-83E2-4919-A583-B6921D54E08A},Difficult,Yes,LR,Leash Required,No,261.2354618,1297,2100,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{00688005-3C3F-4CDA-9259-D64F1E7454A5},289-328-327
2833,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,289-327-326,Yes,1426,289,0.026,-9999,Mount Sanitas,{4F914980-1616-44B6-9B7E-4965F7C01946},Easy,Yes,LR,Leash Required,No,138.6839339,1298,1426,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{EE79EA1D-F3B6-4C0D-8A6B-33E082DA514A},289-327-326
2834,OSMP,No,Yes,Hiking Trail,2022/07/11 00:00:00+00,2099/12/31 00:00:00+00,297-352-327,Yes,2099,297,0.045,234,Sanitas Spur,{BD17E637-EA11-48D0-BDEC-BCDB1498A42C},Moderate,Yes,LR,Leash Required,No,239.726974,1299,2099,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{571E4AD7-8CAD-43B5-B5FA-B57497A18550},297-352-327
2835,OSMP,No,Yes,Hiking Trail,2022/06/01 00:00:00+00,2099/12/31 00:00:00+00,288-353-352,Yes,2044,288,0.029,153,Sanitas Valley,{E209D7AB-3C72-49BA-BA5A-C5078C9D4DC8},Easy,Yes,LR,Leash Required,No,153.3807805,1300,2044,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{3D6B5F83-762E-48CE-9291-0D4A79DA635A},288-353-352
2836,OSMP,No,Yes,Hiking Trail,2022/08/02 00:00:00+00,2099/12/31 00:00:00+00,288-355-353,Yes,2126,288,0.055,281,Sanitas Valley,{9FB26C33-55EA-4AC5-8ECB-08F731A8FAF2},Easy,Yes,LR,Leash Required,No,294.4912167,1301,2126,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{BCB7ED8B-B6EC-4519-8B89-4B8E9A397EC6},288-355-353
2837,OSMP,No,Yes,Hiking Trail,2022/06/01 00:00:00+00,2099/12/31 00:00:00+00,288-352-349,Yes,2045,288,0.157,825,Sanitas Valley,{BFB19673-80C4-4DF0-A500-1B35370AC3B9},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,828.7059729,1302,2045,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{7F01253D-5210-4ED6-A1EE-9EC95C1B6F3C},288-352-349
2838,OSMP,No,Yes,Hiking Trail,2022/07/26 00:00:00+00,2099/12/31 00:00:00+00,323-322-323,Yes,2116,323,1.076,5721,Sunshine Canyon,{A6103DB0-365B-49B6-9D5B-295D05692265},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,5681.790188,1303,2116,,,,Open,Intermittent Closure,,https://bouldercolorado.gov/announcement/intermittent-trail-closures,,{DD294549-7B4B-4581-B4CE-F278784BE23E},323-322-323
2839,OSMP,No,Yes,Hiking Trail,2022/07/11 00:00:00+00,2099/12/31 00:00:00+00,309-326-324,Yes,2101,309,0.033,171,Sanitas Connector,{F6939E5A-3D39-478C-A48E-2D94DA014C52},Easy,Yes,LR,Leash Required,No,173.6627151,1304,2101,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{F3C7E53B-4ECF-4861-8E82-8467AD9D3771},309-326-324
2840,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-300-303,Yes,2140,308,0.046,230,Red Rocks Spur,{AC0A6A5F-657F-451F-ADD1-15FC5BED4420},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,242.6847038,1601,2140,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{7F03423A-0DB8-4904-8AD1-EB47BF2E5E99},308-300-303
2841,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,286-319-318,Yes,2127,286,0.015,76,Red Rocks,{512F67BA-115B-4D57-A36D-28B7D248F25C},Easy,Yes,LR,Leash Required,No,77.96206511,1305,2127,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{A672E172-DECA-432A-B239-600D712080B3},286-319-318
2842,OSMP,No,Yes,Hiking Trail,2022/08/09 00:00:00+00,2099/12/31 00:00:00+00,308-320-318,Yes,2152,308,0.023,126,Red Rocks Spur,{8383B690-F6AB-44AC-BB8F-42B1EC10F254},Easy,Yes,LR,Leash Required,No,122.9287987,1306,2152,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,"Centennial Trailhead, all adjoining trails and the Trailhead parking lot will be closed from 5 A.M to 4 P.M. for overhead tree management on 12/19.",{9F72015E-F2DE-42B6-9045-FF3F88C30A0A},308-320-318
2843,OSMP,No,Yes,Hiking Trail,2022/08/09 00:00:00+00,2099/12/31 00:00:00+00,308-321-320,Yes,2153,308,0.051,273,Red Rocks Spur,{043D98F6-BF0D-4A87-96D4-DC2F430ECC43},Easy,Yes,LR,Leash Required,No,268.8832378,1307,2153,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,"Centennial Trailhead, all adjoining trails and the Trailhead parking lot will be closed from 5 A.M to 4 P.M. for overhead tree management on 12/19.",{C31692B2-9048-4B0E-9C1D-7C093E7DDD07},308-321-320
2844,OSMP,No,Yes,Hiking Trail,2022/08/09 00:00:00+00,2099/12/31 00:00:00+00,286-322-321,No,2154,286,0.034,187,Red Rocks,{ABB6C147-2DF6-40A0-965E-DD62EF8D8615},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,180.8264565,1308,2154,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,"Centennial Trailhead, all adjoining trails and the Trailhead parking lot will be closed from 5 A.M to 4 P.M. for overhead tree management on 12/19.",{517D4889-FC1F-480E-9CD9-7AF124B74D2C},286-322-321
2845,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,286-318-322,Yes,2128,286,0.065,350,Red Rocks,{F2CE0E77-B8D4-4485-883A-AAAC173FCFEF},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,344.4286892,1309,2128,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{88979677-5B87-4B18-9AC1-730533A3A057},286-318-322
2846,OSMP,No,Yes,Hiking Trail,2022/08/09 00:00:00+00,2099/12/31 00:00:00+00,308-316-318,Yes,2151,308,0.032,160,Red Rocks Spur,{6BBA2638-4CF6-4C28-9701-A79B9B7E77C0},Easy,Yes,LR,Leash Required,No,171.4414715,1310,2151,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{A6C65802-AF6B-429E-9FD6-BF121DA428C4},308-316-318
2847,OSMP,No,Yes,Hiking Trail,2022/08/09 00:00:00+00,2099/12/31 00:00:00+00,308-316-317,Yes,2150,308,0.03,153,Red Rocks Spur,{20933BC0-BDF8-4B4F-BC84-87AE8BF05141},Easy,Yes,LR,Leash Required,No,161.0073549,1311,2150,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{8EC20080-7096-43DC-A1BC-F324B7921E8C},308-316-317
2848,OSMP,No,Yes,Hiking Trail,2022/08/09 00:00:00+00,2099/12/31 00:00:00+00,308-315-316,Yes,2149,308,0.031,178,Red Rocks Spur,{1B665BD0-D696-4563-9A71-48305BE7BA60},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,164.0063365,1312,2149,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{C83DC173-E8E8-4580-8FE5-71DD1E3F2599},308-315-316
2849,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,286-322-313,Yes,2129,286,0.036,190,Red Rocks,{F5BB2194-BE3D-49BD-8252-556D247A1410},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,191.5219963,1313,2129,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/government/departments/open-space-mountain-parks/projects#main-content,Trail closed 8/17 for helicopter work,{74F886C6-B07C-4FC5-B4A6-F81A07BCA39B},286-322-313
2850,OSMP,No,Yes,Hiking Trail,2022/08/09 00:00:00+00,2099/12/31 00:00:00+00,308-310-315,Yes,2142,308,0.088,483,Red Rocks Spur,{DC6D946F-C45F-4F46-B727-5205CC6EE98B},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,465.352948,1314,2142,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{38EF13BE-9C6B-4A02-AD61-18E2A911957F},308-310-315
2851,OSMP,No,Yes,Hiking Trail,2022/08/09 00:00:00+00,2099/12/31 00:00:00+00,308-310-311,Yes,2143,308,0.048,256,Red Rocks Spur,{4940929E-04B1-4E9E-B026-9E0D0D3B145B},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,255.5813545,1315,2143,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{773576DD-5BCE-4B21-84D2-DC9C39F2553C},308-310-311
2852,OSMP,No,Yes,Hiking Trail,2022/08/09 00:00:00+00,2099/12/31 00:00:00+00,308-309-310,Yes,2141,308,0.06,322,Red Rocks Spur,{6107C8A3-2457-4FC6-B0EA-EB6E29C53806},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,314.6484443,1316,2141,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{40BC64D9-63CC-48D7-9171-4EDD4317B09E},308-309-310
2853,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,286-313-306,Yes,2130,286,0.123,643,Red Rocks,{B448A4AB-D597-4FD3-B121-74E9D39EDF7C},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,649.7967852,1317,2130,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/government/departments/open-space-mountain-parks/projects#main-content,Trail closed 8/17 for helicopter work,{6B8016A4-8985-4550-9B12-56822276A905},286-313-306
2854,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-308-309,Yes,2137,308,0.027,152,Red Rocks Spur,{E70574EF-E916-445A-BBBA-82422376492C},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,143.5294119,1318,2137,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{6DD415EF-AF5B-4503-9C00-3B098628E065},308-308-309
2855,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-304-308,Yes,2136,308,0.046,245,Red Rocks Spur,{59AD9238-E02F-455F-B3B3-2ACEB5E3FE74},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,243.2140608,1319,2136,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{EDFC7A7B-8710-4E3B-8DF6-891E8ACC3CEC},308-304-308
2856,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-303-308,Yes,2139,308,0.048,252,Red Rocks Spur,{10961410-56EF-4158-8DF3-9CB490919299},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,253.0539304,1320,2139,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{6ED60485-3182-4214-908C-25F8814714B6},308-303-308
2857,OSMP,No,Yes,Hiking Trail,2022/06/22 00:00:00+00,2099/12/31 00:00:00+00,308-309-300,Yes,2073,308,0.047,255,Red Rocks Spur,{EF522E86-BC41-4229-A2DD-0CA0940CE39A},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,247.3582514,1321,2073,Until Further Notice,,,Open,Intermittent Closure,,https://bouldercolorado.gov/services/osmp-closures,Trail intermittently closed 11/16-11/19,{4C2C5F14-7096-49CA-925F-4C1B87972FC1},308-309-300
2858,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-303-304,Yes,2138,308,0.023,128,Red Rocks Spur,{CDD36A45-5FD8-48BC-9093-E633B2FC025C},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,122.8872783,1322,2138,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{29A6299F-D537-4F4F-9C71-BD2CDF54CE21},308-303-304
2859,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-304-305,Yes,2135,318,0.032,165,Red Rocks Spur,{0461D330-3C64-4E52-B551-5500AB59F0C8},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,167.0501197,1323,2135,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{384B114B-AC55-4D05-B2BD-C8A1321AA925},308-304-305
2860,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-306-305,Yes,2131,308,0.01,53,Red Rocks Spur,{968C5FC9-E76B-4F63-B946-2CD26588C2C8},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,53.26981218,1324,2131,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{45DBEFB6-B527-4FAF-A3E9-2A54479AD443},308-306-305
2861,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-305-302,Yes,2132,308,0.066,347,Red Rocks Spur,{BDA6A312-2EC2-4DE5-B148-20DFAD854809},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,348.4303401,1325,2132,Until Further Notice,,,Open,Intermittent Closure,,https://bouldercolorado.gov/announcement/intermittent-trail-closures,,{4BE87FA4-E2CF-44C3-BAA6-47C34E3FEF6B},308-305-302
2862,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-302-304,Yes,2134,308,0.042,231,Red Rocks Spur,{FDF35151-93E8-4A30-ACA0-0DF8002AD470},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,220.1133838,1326,2134,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{F60CBC3A-F3ED-48DC-81D8-45A70710778E},308-302-304
2863,OSMP,No,Yes,Hiking Trail,2022/08/08 00:00:00+00,2099/12/31 00:00:00+00,308-302-297,Yes,2133,308,0.058,296,Red Rocks Spur,{D730C5C1-9EDF-4A81-8D01-2C589909CD80},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,308.7205334,1327,2133,Until Further Notice,,,Open,Intermittent Closure,,https://bouldercolorado.gov/announcement/intermittent-trail-closures,,{D735453B-3AD3-4592-B186-38711E1C6423},308-302-297
2864,OSMP,No,Yes,Hiking Trail,2022/06/21 00:00:00+00,2099/12/31 00:00:00+00,308-301-300,Yes,2070,308,0.052,278,Red Rocks Spur,{E1D55B45-AB49-4488-90AE-B3507297EED3},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,273.5472301,1328,2070,Until Further Notice,,,Open,Intermittent Closure,,https://bouldercolorado.gov/services/osmp-closures,Trail intermittently closed 11/16-11/19,{68A61AEE-6CED-424A-A44E-CCB4BD11BD40},308-301-300
2865,OSMP,No,Yes,Hiking Trail,2022/06/21 00:00:00+00,2099/12/31 00:00:00+00,308-301-297,Yes,2071,308,0.042,212,Red Rocks Spur,{A4633C51-295A-4A55-AABD-7743FFBDB123},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,223.618709,1329,2071,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{E0A549EE-7FED-4AE4-AE23-B280F56910C8},308-301-297
2866,OSMP,No,Yes,Hiking Trail,2022/06/21 00:00:00+00,2099/12/31 00:00:00+00,308-299-301,Yes,2072,308,0.022,120,Red Rocks Spur,{FDEF4953-6AF2-453B-AFB9-99495DE3A355},Easy,Yes,LVS,"Leash, Or Voice and SIght Control",No,116.7028445,1331,2072,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{2A690E4B-D15A-4C27-8812-3C6970454358},308-299-301
2867,OSMP,No,Yes,Hiking Trail,2022/06/21 00:00:00+00,2099/12/31 00:00:00+00,308-300-299,Yes,2069,308,0.053,281,Red Rocks Spur,{FF9F08DA-15C6-4BAB-B76E-7A2EA281E885},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,281.2614867,1332,2069,Until Further Notice,,,Open,Intermittent Closure,,https://bouldercolorado.gov/services/osmp-closures,Trail intermittently closed 11/16-11/19,{9015E954-8A90-4433-A98A-1FECE7A5E078},308-300-299
2868,OSMP,No,Yes,Hiking Trail,2022/06/21 00:00:00+00,2099/12/31 00:00:00+00,308-298-299,Yes,2068,308,0.164,870,Red Rocks Spur,{ABD5A846-794A-4517-B0D2-D22211AD95F1},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,866.5488409,1333,2068,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{0FACB44A-D3CD-4815-8E83-1CAFB43B921E},308-298-299
2869,OSMP,No,Yes,Hiking Trail,2022/06/21 00:00:00+00,2099/12/31 00:00:00+00,308-297-298,Yes,2067,308,0.015,83,Red Rocks Spur,{3E567951-6B47-4BE8-AC71-7D7194C2236C},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,79.52644414,1334,2067,,,,Open,Intermittent Closure,,https://bouldercolorado.gov/announcement/intermittent-trail-closures,,{2894DA16-6C4F-46FC-9EC1-D9963269D3B9},308-297-298
2870,OSMP,No,Yes,Hiking Trail,2022/06/22 00:00:00+00,2099/12/31 00:00:00+00,308-298-293,Yes,2074,308,0.114,623,Red Rocks Spur,{0883E6DD-7D34-4D91-BECD-37A6C568B040},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,603.6317467,1335,2074,,,,Open,Intermittent Closure,,https://bouldercolorado.gov/announcement/intermittent-trail-closures,,{26ADFACE-B7FD-43D2-9E6F-4CAF57C67248},308-298-293
2871,OSMP,No,Yes,Hiking Trail,2022/06/21 00:00:00+00,2099/12/31 00:00:00+00,286-292-297,Yes,2066,286,0.304,1613,Red Rocks,{81951DD0-50CA-4479-99AB-AF2ED906F7ED},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,1606.677855,2443,2066,,,,Open,Intermittent Closure,,https://bouldercolorado.gov/announcement/intermittent-trail-closures,,{CDECBB43-3531-452F-8E9F-23A8EAD8AE55},286-292-297
2872,OSMP,No,Yes,Hiking Trail,2022/06/22 00:00:00+00,2099/12/31 00:00:00+00,308-294-293,Yes,2077,308,0.035,163,Red Rocks Spur,{9297D28E-D48D-465A-BD63-5216D1709428},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,184.4233252,1337,2077,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{B3927353-4F86-4B20-A298-4A89ABEDC4FC},308-294-293
2873,OSMP,No,Yes,Hiking Trail,2022/06/22 00:00:00+00,2099/12/31 00:00:00+00,308-293-294,Yes,2075,308,0.113,586,Red Rocks Spur,{1C8B7ECE-47E2-48BF-92FF-6ABCEE41A790},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,597.3558723,1338,2075,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{5B327890-F7BF-4B93-B963-1B54768BA2B1},308-293-294
