object_id,owner,bicycles,display,trail_type,date_from,date_to,segment_id,horses,rid,trail_id,length_miles,length_feet,trail_name_x,global_id,difficulty,dogs,dog_regulation_general,dog_regulation_description,ebikes,geometry_length,dog_access,trail_name_y,latitude,longitude
2675,OSMP,No,Yes,Hiking Trail,2021/07/28 00:00:00+00,2099/12/31 00:00:00+00,228-147-247,Yes,1979,228,0.071,439.0,Green Mountain West Ridge,{16900822-9700-4D25-8BA8-280FCCA71F61},Moderate,Yes,LVS,On-Corridor Voice and Sight,No,377.1372451,off_leash,Green Mountain West Ridge,39.98258727710189,-105.30874217330172
2676,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,224-136-137,No,1540,224,0.024,-9999.0,Bear Peak,{1BF4448A-A4F8-4DB4-8316-2D312066D912},Difficult,Yes,LVS,On-Corridor Voice and Sight,No,127.8494046,off_leash,Bear Peak,39.96024579329413,-105.29515970479672
2676,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,224-136-137,No,1540,224,0.024,-9999.0,Bear Peak,{1BF4448A-A4F8-4DB4-8316-2D312066D912},Difficult,Yes,LVS,On-Corridor Voice and Sight,No,127.8494046,off_leash,Bear Peak,39.96025355038046,-105.2953476157508
2676,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,224-136-137,No,1540,224,0.024,-9999.0,Bear Peak,{1BF4448A-A4F8-4DB4-8316-2D312066D912},Difficult,Yes,LVS,On-Corridor Voice and Sight,No,127.8494046,off_leash,Bear Peak,39.96055611111504,-105.2950130782792
2679,OSMP,No,Yes,Hiking Trail,2021/07/28 00:00:00+00,2099/12/31 00:00:00+00,228-247-679,No,1980,228,0.035,210.0,Green Mountain West Ridge,{1C46C186-2830-42FB-81A7-D4CE896DFEA8},Moderate,Yes,LVS,On-Corridor Voice and Sight,No,182.5911229,off_leash,Green Mountain West Ridge,39.98213813103665,-105.3026847340248
2679,OSMP,No,Yes,Hiking Trail,2021/07/28 00:00:00+00,2099/12/31 00:00:00+00,228-247-679,No,1980,228,0.035,210.0,Green Mountain West Ridge,{1C46C186-2830-42FB-81A7-D4CE896DFEA8},Moderate,Yes,LVS,On-Corridor Voice and Sight,No,182.5911229,off_leash,Green Mountain West Ridge,39.98189267324598,-105.30182274962684
2679,OSMP,No,Yes,Hiking Trail,2021/07/28 00:00:00+00,2099/12/31 00:00:00+00,228-247-679,No,1980,228,0.035,210.0,Green Mountain West Ridge,{1C46C186-2830-42FB-81A7-D4CE896DFEA8},Moderate,Yes,LVS,On-Corridor Voice and Sight,No,182.5911229,off_leash,Green Mountain West Ridge,39.98213813103665,-105.3026847340248
2679,OSMP,No,Yes,Hiking Trail,2021/07/28 00:00:00+00,2099/12/31 00:00:00+00,228-247-679,No,1980,228,0.035,210.0,Green Mountain West Ridge,{1C46C186-2830-42FB-81A7-D4CE896DFEA8},Moderate,Yes,LVS,On-Corridor Voice and Sight,No,182.5911229,off_leash,Green Mountain West Ridge,39.983349146743876,-105.32323398504208
2679,OSMP,No,Yes,Hiking Trail,2021/07/28 00:00:00+00,2099/12/31 00:00:00+00,228-247-679,No,1980,228,0.035,210.0,Green Mountain West Ridge,{1C46C186-2830-42FB-81A7-D4CE896DFEA8},Moderate,Yes,LVS,On-Corridor Voice and Sight,No,182.5911229,off_leash,Green Mountain West Ridge,39.98258727710189,-105.30874217330172
2681,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,2166,417,0.03,156.0,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,No,159.4665229,leash_required,Buckingham Park,40.111094172870104,-105.30645195221648
